DATE_AS_AT,TOTALS_NATIONAL_TOTAL,TOTALS_NATIONAL_LAST_24HR,TOTALS_CWTH_ALL_TOTAL,TOTALS_CWTH_ALL_LAST_24HR,TOTALS_CWTH_PRIMARY_CARE_TOTAL,TOTALS_CWTH_PRIMARY_CARE_LAST_24HR,TOTALS_CWTH_AGED_CARE_TOTAL,TOTALS_CWTH_AGED_CARE_LAST_24HR,STATE_CLINICS_VIC_TOTAL,STATE_CLINICS_VIC_LAST_24HR,STATE_CLINICS_QLD_TOTAL,STATE_CLINICS_QLD_LAST_24HR,STATE_CLINICS_WA_TOTAL,STATE_CLINICS_WA_LAST_24HR,STATE_CLINICS_TAS_TOTAL,STATE_CLINICS_TAS_LAST_24HR,STATE_CLINICS_SA_TOTAL,STATE_CLINICS_SA_LAST_24HR,STATE_CLINICS_ACT_TOTAL,STATE_CLINICS_ACT_LAST_24HR,STATE_CLINICS_NT_TOTAL,STATE_CLINICS_NT_LAST_24HR,STATE_CLINICS_NSW_TOTAL,STATE_CLINICS_NSW_LAST_24HR,CWTH_AGED_CARE_VIC_TOTAL,CWTH_AGED_CARE_VIC_LAST_24HR,CWTH_AGED_CARE_QLD_TOTAL,CWTH_AGED_CARE_QLD_LAST_24HR,CWTH_AGED_CARE_WA_TOTAL,CWTH_AGED_CARE_WA_LAST_24HR,CWTH_AGED_CARE_TAS_TOTAL,CWTH_AGED_CARE_TAS_LAST_24HR,CWTH_AGED_CARE_SA_TOTAL,CWTH_AGED_CARE_SA_LAST_24HR,CWTH_AGED_CARE_ACT_TOTAL,CWTH_AGED_CARE_ACT_LAST_24HR,CWTH_AGED_CARE_NT_TOTAL,CWTH_AGED_CARE_NT_LAST_24HR,CWTH_AGED_CARE_NSW_TOTAL,CWTH_AGED_CARE_NSW_LAST_24HR,CWTH_PRIMARY_CARE_VIC_TOTAL,CWTH_PRIMARY_CARE_VIC_LAST_24HR,CWTH_PRIMARY_CARE_QLD_TOTAL,CWTH_PRIMARY_CARE_QLD_LAST_24HR,CWTH_PRIMARY_CARE_WA_TOTAL,CWTH_PRIMARY_CARE_WA_LAST_24HR,CWTH_PRIMARY_CARE_TAS_TOTAL,CWTH_PRIMARY_CARE_TAS_LAST_24HR,CWTH_PRIMARY_CARE_SA_TOTAL,CWTH_PRIMARY_CARE_SA_LAST_24HR,CWTH_PRIMARY_CARE_ACT_TOTAL,CWTH_PRIMARY_CARE_ACT_LAST_24HR,CWTH_PRIMARY_CARE_NT_TOTAL,CWTH_PRIMARY_CARE_NT_LAST_24HR,CWTH_PRIMARY_CARE_NSW_TOTAL,CWTH_PRIMARY_CARE_NSW_LAST_24HR,CWTH_AGED_CARE_DOSES_FIRST_DOSE,CWTH_AGED_CARE_DOSES_SECOND_DOSE,CWTH_AGED_CARE_FACILITIES_FIRST_DOSE,CWTH_AGED_CARE_FACILITIES_SECOND_DOSE,APPROX_VIC_SECOND_DOSE_TOTAL,APPROX_QLD_SECOND_DOSE_TOTAL,APPROX_WA_SECOND_DOSE_TOTAL,APPROX_TAS_SECOND_DOSE_TOTAL,APPROX_SA_SECOND_DOSE_TOTAL,APPROX_ACT_SECOND_DOSE_TOTAL,APPROX_NT_SECOND_DOSE_TOTAL,APPROX_NSW_SECOND_DOSE_TOTAL,VALIDATED,URL
2021-04-08,1077511,81297,541342,54999,408290,47207,133052,7792,137320,,105283,,64767,,21475,,34707,,15823,,10070,,146724,,26989,1401,31776,2374,15465,584,5282,196,11868,447,5087,0,1294,34,35291,2756,96741,10424,85825,10534,33299,4120,13439,1161,33922,3533,8139,666,2753,346,134172,16423,90622,42430,1052,475,,,,,,,,,Y,https://www.health.gov.au/sites/default/files/documents/2021/04/covid-19-vaccine-rollout-update-9-april-2021.pdf
2021-04-09,1138866,61355,583911,42569,445224,36934,138687,5635,142130,4810,108721,3438,66559,1792,22887,1412,36473,1766,16497,674,10563,493,151125,4401,27793,804,33424,1648,15619,154,5520,238,12364,496,5186,99,1303,9,37478,2187,104383,7642,93589,7764,36495,3196,14581,1142,37743,3821,8666,527,3100,347,146667,12495,93774,44913,1094,511,,,,,,,,,Y,https://www.health.gov.au/sites/default/files/documents/2021/04/covid-19-vaccine-rollout-update-10-april-2021.pdf
2021-04-10,1166075,27209,607507,23596,465440,20216,142067,3380,143417,1287,108721,0,66865,306,23572,685,36916,443,16979,482,10563,0,151535,410,28050,257,34440,1016,15839,220,5520,0,12449,85,5186,0,1303,0,39280,1802,110247,5864,97341,3752,39014,2519,15794,1213,39224,1481,9186,520,3134,34,151500,4833,95292,46775,1116,529,,,,,,,,,Y,https://www.health.gov.au/sites/default/files/documents/2021/04/covid-19-vaccine-rollout-update-11-april-2021_0.pdf
2021-04-11,1178302,12227,616568,9061,473578,8138,142990,923,144320,903,109314,593,67146,281,23727,155,37656,740,17458,479,10578,15,151535,0,28050,0,34856,416,15839,0,5520,0,12449,0,5186,0,1303,0,39787,507,112872,2625,99084,1743,39787,773,16308,514,39657,433,9729,543,3145,11,152996,1496,95770,47220,1121,533,,,,,,,,,Y,https://www.health.gov.au/sites/default/files/documents/2021/04/covid-19-vaccine-rollout-update-12-april-2021_1.pdf
2021-04-12,1234681,56379,656809,40241,508478,34900,148331,5341,147798,3478,112419,3105,68895,1749,24614,887,39206,1550,18059,601,10987,409,155894,4359,29038,988,36618,1762,16525,686,5574,54,12730,281,5279,93,1303,0,41264,1477,121500,8628,105703,6619,43171,3384,17180,872,42368,2711,10419,690,3389,244,164748,11752,98929,49402,1152,555,,,,,,,,,Y,https://www.health.gov.au/sites/default/files/documents/2021/04/covid-19-vaccine-rollout-update-13-april-2021.pdf
2021-04-13,1295672,60991,700332,43523,547512,39034,152820,4489,152363,4565,115025,2606,70584,1689,25832,1218,40728,1522,18644,585,11527,540,160637,4743,29914,876,36923,305,16932,407,5930,356,13052,322,5328,49,1303,0,43438,2174,130441,8941,114155,8452,46484,3313,17919,739,45257,2889,10996,577,3648,259,178612,13864,101461,51359,1181,586,,,,,,,,,Y,https://www.health.gov.au/sites/default/files/documents/2021/04/covid-19-vaccine-rollout-update-14-april-2021.pdf
2021-04-14,1359305,63633,747972,47640,589280,41768,158692,5872,155928,3565,117763,2738,72263,1679,26728,896,42601,1873,19236,592,11959,432,164855,4218,31517,1603,38108,1185,17494,562,6032,102,13436,384,5366,38,1303,0,45436,1998,139854,9413,123245,9090,49929,3445,18694,775,49083,3826,11693,697,3935,287,192847,14235,105433,53259,1227,617,,,,,,,,,Y,https://www.health.gov.au/sites/default/files/documents/2021/04/covid-19-vaccine-rollout-update-15-april-2021.pdf
2021-04-15,1420577,61272,793937,45965,629289,40009,164648,5956,158498,2570,120458,2695,74046,1783,28047,1319,44150,1549,19813,577,12344,385,169284,4429,32800,1283,39607,1499,18032,538,6127,95,13811,375,5366,0,1303,0,47602,2166,150183,10329,131901,8656,53132,3203,19911,1217,52144,3061,12259,566,4165,230,205594,12747,108503,56145,1261,659,,,,,,,,,Y,https://www.health.gov.au/sites/default/files/documents/2021/04/covid-19-vaccine-rollout-update-16-april-2021.pdf
2021-04-16,1474558,53981,833192,39255,662478,33189,170714,6066,162108,3610,122865,2407,75858,1812,28630,583,45485,1335,20365,552,12753,409,173302,4018,33924,1124,40726,1119,18722,690,6211,84,14188,377,5403,37,1303,0,50237,2635,158458,8275,138532,6631,55736,2604,20814,903,54859,2715,12718,459,4504,339,216857,11263,111900,58814,1300,699,,,,,,,,,Y,https://www.health.gov.au/sites/default/files/documents/2021/04/covid-19-vaccine-rollout-update-17-april-2021.pdf
2021-04-17,1496608,22050,852776,19584,680425,17947,172351,1637,162553,445,122865,0,76082,224,28721,91,46154,669,20852,487,12753,0,173852,550,33924,0,41249,523,18722,0,6211,0,14188,0,5403,0,1303,0,51351,1114,163296,4838,141289,2757,58134,2398,21833,1019,55926,1067,13360,642,4551,47,222036,5179,112648,59703,1311,710,,,,,,,,,Y,https://www.health.gov.au/sites/default/files/documents/2021/04/covid-19-vaccine-rollout-update-18-april-2021_0.pdf
